visitor,visitor_score,home,home_score
Orlando Magic,84,New Orleans Pelicans,101
Dallas Mavericks,100,San Antonio Spurs,101
Houston Rockets,108,Los Angeles Lakers,90
Milwaukee Bucks,106,Charlotte Hornets,108
Philadelphia 76ers,91,Indiana Pacers,103
Atlanta Hawks,102,Toronto Raptors,109
Washington Wizards,95,Miami Heat,107
Brooklyn Nets,105,Boston Celtics,121
Chicago Bulls,104,New York Knicks,80
Minnesota Timberwolves,101,Memphis Grizzlies,105
Detroit Pistons,79,Denver Nuggets,89
Houston Rockets,104,Utah Jazz,93
Los Angeles Lakers,99,Phoenix Suns,119
Golden State Warriors,95,Sacramento Kings,77
Oklahoma City Thunder,89,Portland Trail Blazers,106
Washington Wizards,105,Orlando Magic,98
New York Knicks,95,Cleveland Cavaliers,90
Detroit Pistons,91,Minnesota Timberwolves,97
Utah Jazz,102,Dallas Mavericks,120
Oklahoma City Thunder,90,Los Angeles Clippers,93
Memphis Grizzlies,97,Indiana Pacers,89
Cleveland Cavaliers,114,Chicago Bulls,108
Philadelphia 76ers,81,Milwaukee Bucks,93
San Antonio Spurs,89,Phoenix Suns,94
Portland Trail Blazers,94,Sacramento Kings,103
Los Angeles Clippers,118,Los Angeles Lakers,111
Memphis Grizzlies,71,Charlotte Hornets,69
Dallas Mavericks,109,New Orleans Pelicans,104
Toronto Raptors,108,Orlando Magic,95
Miami Heat,114,Philadelphia 76ers,96
Milwaukee Bucks,97,Washington Wizards,108
Indiana Pacers,92,Atlanta Hawks,102
Brooklyn Nets,102,Detroit Pistons,90
Boston Celtics,90,Houston Rockets,104
Chicago Bulls,106,Minnesota Timberwolves,105
Denver Nuggets,91,Oklahoma City Thunder,102
Phoenix Suns,91,Utah Jazz,118
Los Angeles Lakers,104,Golden State Warriors,127
Sacramento Kings,98,Los Angeles Clippers,92
Toronto Raptors,102,Miami Heat,107
Charlotte Hornets,93,New York Knicks,96
Golden State Warriors,95,Portland Trail Blazers,90
Houston Rockets,104,Philadelphia 76ers,93
Oklahoma City Thunder,85,Brooklyn Nets,116
New Orleans Pelicans,81,Memphis Grizzlies,93
Boston Celtics,113,Dallas Mavericks,118
Sacramento Kings,110,Denver Nuggets,105
Utah Jazz,101,Los Angeles Clippers,107
Milwaukee Bucks,87,Indiana Pacers,81
Houston Rockets,108,Miami Heat,91
Washington Wizards,98,New York Knicks,83
Oklahoma City Thunder,88,Toronto Raptors,100
Orlando Magic,90,Chicago Bulls,98
Charlotte Hornets,91,New Orleans Pelicans,100
Cleveland Cavaliers,82,Portland Trail Blazers,101
Phoenix Suns,112,Los Angeles Lakers,106
Miami Heat,89,Charlotte Hornets,96
Orlando Magic,91,Philadelphia 76ers,89
Toronto Raptors,110,Boston Celtics,107
Minnesota Timberwolves,98,Brooklyn Nets,91
New York Knicks,95,Detroit Pistons,98
Chicago Bulls,95,Milwaukee Bucks,86
Indiana Pacers,94,Washington Wizards,96
Atlanta Hawks,92,San Antonio Spurs,94
Memphis Grizzlies,102,Phoenix Suns,91
Cleveland Cavaliers,100,Utah Jazz,102
Denver Nuggets,109,Sacramento Kings,131
Los Angeles Clippers,104,Golden State Warriors,121
San Antonio Spurs,81,Houston Rockets,98
Dallas Mavericks,87,Portland Trail Blazers,108
Atlanta Hawks,119,Charlotte Hornets,122
Minnesota Timberwolves,103,Orlando Magic,112
Chicago Bulls,118,Philadelphia 76ers,115
Indiana Pacers,98,Boston Celtics,101
New York Knicks,99,Brooklyn Nets,110
Milwaukee Bucks,95,Detroit Pistons,98
Washington Wizards,84,Toronto Raptors,103
Memphis Grizzlies,91,Oklahoma City Thunder,89
Sacramento Kings,114,Phoenix Suns,112
Dallas Mavericks,105,Utah Jazz,82
Cleveland Cavaliers,110,Denver Nuggets,101
Portland Trail Blazers,102,Los Angeles Clippers,106
Washington Wizards,97,Indiana Pacers,90
New York Knicks,96,Atlanta Hawks,103
Minnesota Timberwolves,92,Miami Heat,102
Boston Celtics,106,Chicago Bulls,101
Golden State Warriors,98,Houston Rockets,87
Memphis Grizzlies,92,Milwaukee Bucks,93
New Orleans Pelicans,100,San Antonio Spurs,99
Orlando Magic,96,Brooklyn Nets,104
Utah Jazz,97,Detroit Pistons,96
Sacramento Kings,93,Oklahoma City Thunder,101
Philadelphia 76ers,88,Toronto Raptors,120
Miami Heat,105,Dallas Mavericks,96
Golden State Warriors,95,Phoenix Suns,107
Denver Nuggets,100,Portland Trail Blazers,116
Charlotte Hornets,92,Los Angeles Lakers,107
New Orleans Pelicans,111,Cleveland Cavaliers,118
Utah Jazz,86,Indiana Pacers,97
Atlanta Hawks,91,New York Knicks,85
Detroit Pistons,91,Chicago Bulls,102
San Antonio Spurs,89,Los Angeles Clippers,85
Orlando Magic,100,Toronto Raptors,104
Los Angeles Lakers,102,Memphis Grizzlies,107
Oklahoma City Thunder,78,Milwaukee Bucks,85
Sacramento Kings,98,Dallas Mavericks,106
Charlotte Hornets,100,Portland Trail Blazers,102
San Antonio Spurs,113,Golden State Warriors,100
Detroit Pistons,103,Washington Wizards,107
Utah Jazz,97,Atlanta Hawks,100
Oklahoma City Thunder,109,Boston Celtics,94
Indiana Pacers,81,Miami Heat,75
Orlando Magic,97,New York Knicks,95
Los Angeles Lakers,102,New Orleans Pelicans,109
Portland Trail Blazers,130,Denver Nuggets,113
Brooklyn Nets,104,Phoenix Suns,112
Houston Rockets,113,Minnesota Timberwolves,101
Sacramento Kings,110,Memphis Grizzlies,111
Chicago Bulls,100,Toronto Raptors,93
Philadelphia 76ers,70,Dallas Mavericks,123
Brooklyn Nets,99,Golden State Warriors,107
Denver Nuggets,108,Indiana Pacers,87
Milwaukee Bucks,85,Orlando Magic,101
Miami Heat,103,Atlanta Hawks,114
Cleveland Cavaliers,122,Boston Celtics,121
Utah Jazz,102,New York Knicks,100
Philadelphia 76ers,87,Houston Rockets,88
Minnesota Timberwolves,91,New Orleans Pelicans,139
Detroit Pistons,96,Oklahoma City Thunder,89
Charlotte Hornets,103,Phoenix Suns,95
San Antonio Spurs,93,Los Angeles Lakers,80
Orlando Magic,93,Washington Wizards,98
Atlanta Hawks,94,Cleveland Cavaliers,127
Utah Jazz,93,Toronto Raptors,111
Indiana Pacers,99,Chicago Bulls,90
Detroit Pistons,88,Memphis Grizzlies,95
Minnesota Timberwolves,117,Dallas Mavericks,131
Brooklyn Nets,87,Portland Trail Blazers,97
San Antonio Spurs,91,Sacramento Kings,94
Charlotte Hornets,87,Golden State Warriors,112
Phoenix Suns,107,Los Angeles Clippers,120
Denver Nuggets,93,New York Knicks,109
Milwaukee Bucks,91,Miami Heat,84
Houston Rockets,69,Oklahoma City Thunder,65
Golden State Warriors,136,Los Angeles Lakers,115
Dallas Mavericks,107,Charlotte Hornets,80
Denver Nuggets,106,Cleveland Cavaliers,97
Phoenix Suns,118,Boston Celtics,114
Miami Heat,95,Brooklyn Nets,83
Orlando Magic,107,Detroit Pistons,93
Houston Rockets,93,Memphis Grizzlies,119
Philadelphia 76ers,75,San Antonio Spurs,100
New Orleans Pelicans,93,Portland Trail Blazers,102
Chicago Bulls,105,Los Angeles Clippers,89
Los Angeles Lakers,114,Atlanta Hawks,109
New York Knicks,113,Milwaukee Bucks,117
Oklahoma City Thunder,81,Utah Jazz,98
New Orleans Pelicans,106,Sacramento Kings,100
San Antonio Spurs,92,Cleveland Cavaliers,90
Charlotte Hornets,86,Indiana Pacers,88
Los Angeles Clippers,114,Orlando Magic,90
Boston Celtics,101,Philadelphia 76ers,90
Dallas Mavericks,105,Washington Wizards,102
Milwaukee Bucks,122,Brooklyn Nets,118
Phoenix Suns,88,Detroit Pistons,86
Memphis Grizzlies,92,Toronto Raptors,96
New York Knicks,99,Minnesota Timberwolves,115
Oklahoma City Thunder,100,Denver Nuggets,107
Los Angeles Lakers,98,Houston Rockets,92
Los Angeles Clippers,110,Miami Heat,93
Chicago Bulls,88,Sacramento Kings,103
Orlando Magic,105,Charlotte Hornets,100
Phoenix Suns,122,Philadelphia 76ers,96
Detroit Pistons,89,Atlanta Hawks,99
Milwaukee Bucks,82,Toronto Raptors,124
Boston Celtics,100,Memphis Grizzlies,117
San Antonio Spurs,121,Minnesota Timberwolves,92
Brooklyn Nets,94,Oklahoma City Thunder,92
Cleveland Cavaliers,78,Washington Wizards,91
Los Angeles Lakers,106,Dallas Mavericks,140
New Orleans Pelicans,97,Denver Nuggets,117
Utah Jazz,88,Golden State Warriors,101
Chicago Bulls,87,Portland Trail Blazers,105
Phoenix Suns,106,Indiana Pacers,83
Miami Heat,99,Orlando Magic,92
Toronto Raptors,110,Cleveland Cavaliers,93
Philadelphia 76ers,83,New York Knicks,91
Dallas Mavericks,92,Houston Rockets,95
Sacramento Kings,113,Minnesota Timberwolves,101
Washington Wizards,111,Milwaukee Bucks,100
Brooklyn Nets,87,San Antonio Spurs,99
New Orleans Pelicans,106,Utah Jazz,94
Portland Trail Blazers,94,Boston Celtics,88
Los Angeles Clippers,91,Memphis Grizzlies,107
Charlotte Hornets,93,Miami Heat,94
Golden State Warriors,91,Oklahoma City Thunder,86
Denver Nuggets,101,Los Angeles Lakers,94
Los Angeles Clippers,113,Charlotte Hornets,92
Orlando Magic,74,Cleveland Cavaliers,106
Portland Trail Blazers,114,Philadelphia 76ers,104
Phoenix Suns,100,Toronto Raptors,104
New York Knicks,86,Houston Rockets,91
Indiana Pacers,111,Dallas Mavericks,100
Chicago Bulls,97,Utah Jazz,95
Atlanta Hawks,106,Washington Wizards,102
Golden State Warriors,114,Miami Heat,97
Detroit Pistons,86,Milwaukee Bucks,98
Sacramento Kings,99,New Orleans Pelicans,89
Chicago Bulls,109,Denver Nuggets,114
Portland Trail Blazers,105,Charlotte Hornets,97
Washington Wizards,87,Cleveland Cavaliers,113
Golden State Warriors,111,Orlando Magic,96
Brooklyn Nets,99,Philadelphia 76ers,91
Toronto Raptors,126,Atlanta Hawks,115
New York Knicks,102,Dallas Mavericks,109
Los Angeles Clippers,104,Detroit Pistons,98
Sacramento Kings,89,Houston Rockets,102
Milwaukee Bucks,103,Minnesota Timberwolves,86
Utah Jazz,82,Oklahoma City Thunder,97
Indiana Pacers,100,San Antonio Spurs,106
Denver Nuggets,112,Phoenix Suns,120
Memphis Grizzlies,99,Los Angeles Lakers,93
Chicago Bulls,109,Boston Celtics,102
Golden State Warriors,106,Charlotte Hornets,101
New Orleans Pelicans,91,Atlanta Hawks,100
Milwaukee Bucks,104,Detroit Pistons,88
Dallas Mavericks,106,Toronto Raptors,102
Los Angeles Clippers,102,Houston Rockets,85
Orlando Magic,83,Indiana Pacers,98
New York Knicks,78,Oklahoma City Thunder,105
Sacramento Kings,104,San Antonio Spurs,112
Phoenix Suns,97,Denver Nuggets,122
Memphis Grizzlies,112,Portland Trail Blazers,99
Minnesota Timberwolves,120,Los Angeles Lakers,119
Dallas Mavericks,110,Philadelphia 76ers,103
New Orleans Pelicans,80,Washington Wizards,83
Charlotte Hornets,75,Atlanta Hawks,105
Indiana Pacers,97,Cleveland Cavaliers,109
Houston Rockets,117,Milwaukee Bucks,103
Los Angeles Clippers,112,Utah Jazz,96
San Antonio Spurs,111,Boston Celtics,89
Chicago Bulls,102,Brooklyn Nets,84
Golden State Warriors,104,Detroit Pistons,93
Memphis Grizzlies,97,Sacramento Kings,85
Miami Heat,86,New York Knicks,79
Orlando Magic,93,Phoenix Suns,90
Minnesota Timberwolves,93,Portland Trail Blazers,107
Toronto Raptors,122,Los Angeles Lakers,129
San Antonio Spurs,109,Philadelphia 76ers,103
Miami Heat,86,Washington Wizards,107
Denver Nuggets,103,Utah Jazz,101
Minnesota Timberwolves,101,Los Angeles Clippers,127
Milwaukee Bucks,108,Cleveland Cavaliers,111
Boston Celtics,105,Atlanta Hawks,109
Los Angeles Lakers,106,Detroit Pistons,96
Brooklyn Nets,98,New York Knicks,93
Dallas Mavericks,132,Chicago Bulls,129
Oklahoma City Thunder,104,New Orleans Pelicans,112
Portland Trail Blazers,105,Denver Nuggets,103
Indiana Pacers,99,Phoenix Suns,116
Toronto Raptors,117,Sacramento Kings,109
Orlando Magic,97,Golden State Warriors,98
Chicago Bulls,102,Charlotte Hornets,95
Los Angeles Lakers,95,Washington Wizards,111
Detroit Pistons,102,Boston Celtics,109
San Antonio Spurs,93,Brooklyn Nets,95
Atlanta Hawks,112,Miami Heat,102
Memphis Grizzlies,96,Houston Rockets,105
Dallas Mavericks,107,Milwaukee Bucks,105
Philadelphia 76ers,85,Minnesota Timberwolves,77
Toronto Raptors,123,Utah Jazz,104
Orlando Magic,86,Los Angeles Clippers,114
Cleveland Cavaliers,90,New York Knicks,87
Indiana Pacers,82,Portland Trail Blazers,88
New Orleans Pelicans,85,Golden State Warriors,112
New York Knicks,102,Charlotte Hornets,103
Oklahoma City Thunder,103,Philadelphia 76ers,91
Denver Nuggets,89,Washington Wizards,119
Los Angeles Lakers,96,Boston Celtics,113
Atlanta Hawks,98,Brooklyn Nets,75
Cleveland Cavaliers,105,Toronto Raptors,91
San Antonio Spurs,107,Memphis Grizzlies,101
Houston Rockets,114,Minnesota Timberwolves,112
Phoenix Suns,118,Dallas Mavericks,106
Miami Heat,85,Milwaukee Bucks,109
Orlando Magic,98,Utah Jazz,93
Indiana Pacers,101,Sacramento Kings,102
Philadelphia 76ers,108,Detroit Pistons,101
Golden State Warriors,112,Chicago Bulls,102
Phoenix Suns,95,Houston Rockets,100
Minnesota Timberwolves,101,San Antonio Spurs,123
Orlando Magic,105,Sacramento Kings,96
New Orleans Pelicans,100,Los Angeles Clippers,120
Washington Wizards,93,Boston Celtics,101
Denver Nuggets,84,Atlanta Hawks,96
Oklahoma City Thunder,96,Detroit Pistons,94
Miami Heat,87,Memphis Grizzlies,103
Milwaukee Bucks,102,Dallas Mavericks,125
Portland Trail Blazers,103,New York Knicks,99
New Orleans Pelicans,104,Los Angeles Lakers,87
Atlanta Hawks,108,Indiana Pacers,92
Boston Celtics,132,Washington Wizards,133
Cleveland Cavaliers,110,Brooklyn Nets,88
Denver Nuggets,107,Toronto Raptors,112
Golden State Warriors,102,Minnesota Timberwolves,86
Utah Jazz,92,Sacramento Kings,101
Phoenix Suns,120,Los Angeles Clippers,121
Toronto Raptors,101,Cleveland Cavaliers,105
Portland Trail Blazers,98,Detroit Pistons,86
Dallas Mavericks,105,Memphis Grizzlies,114
New York Knicks,93,New Orleans Pelicans,104
Milwaukee Bucks,101,Oklahoma City Thunder,114
Miami Heat,103,Phoenix Suns,97
San Antonio Spurs,96,Utah Jazz,100
Sacramento Kings,95,Los Angeles Lakers,98
Boston Celtics,87,Charlotte Hornets,96
Los Angeles Clippers,103,Indiana Pacers,96
Washington Wizards,91,Orlando Magic,89
Philadelphia 76ers,79,Atlanta Hawks,95
Brooklyn Nets,80,Chicago Bulls,105
New Orleans Pelicans,107,Dallas Mavericks,112
Portland Trail Blazers,82,Minnesota Timberwolves,90
New York Knicks,95,San Antonio Spurs,109
Miami Heat,82,Denver Nuggets,102
Houston Rockets,93,Golden State Warriors,105
Cleveland Cavaliers,94,Oklahoma City Thunder,103
Houston Rockets,113,Sacramento Kings,109
Portland Trail Blazers,106,Chicago Bulls,115
Los Angeles Clippers,96,Washington Wizards,104
Orlando Magic,81,Atlanta Hawks,87
New York Knicks,101,Boston Celtics,95
Philadelphia 76ers,70,Brooklyn Nets,88
Indiana Pacers,94,Toronto Raptors,106
Charlotte Hornets,107,Memphis Grizzlies,113
Oklahoma City Thunder,111,Minnesota Timberwolves,92
Cleveland Cavaliers,114,New Orleans Pelicans,119
Detroit Pistons,105,Phoenix Suns,103
Miami Heat,100,Utah Jazz,95
Los Angeles Lakers,112,San Antonio Spurs,110
Golden State Warriors,105,Dallas Mavericks,98
Brooklyn Nets,114,Charlotte Hornets,87
Portland Trail Blazers,95,Indiana Pacers,85
Atlanta Hawks,99,Orlando Magic,100
Los Angeles Clippers,106,Milwaukee Bucks,111
Memphis Grizzlies,120,Philadelphia 76ers,115
Denver Nuggets,96,Houston Rockets,108
Detroit Pistons,95,Sacramento Kings,90
Chicago Bulls,93,Miami Heat,75
Golden State Warriors,128,New Orleans Pelicans,122
Utah Jazz,84,Washington Wizards,93
Los Angeles Lakers,100,Minnesota Timberwolves,94
Phoenix Suns,88,Oklahoma City Thunder,112
Toronto Raptors,95,New York Knicks,90
San Antonio Spurs,99,Denver Nuggets,91
Charlotte Hornets,88,Cleveland Cavaliers,97
Los Angeles Lakers,91,Indiana Pacers,110
Boston Celtics,105,Philadelphia 76ers,87
Chicago Bulls,86,Atlanta Hawks,93
Orlando Magic,82,Toronto Raptors,95
Milwaukee Bucks,96,Phoenix Suns,94
San Antonio Spurs,95,Portland Trail Blazers,108
Detroit Pistons,91,Los Angeles Clippers,113
Minnesota Timberwolves,95,Washington Wizards,109
Miami Heat,95,Brooklyn Nets,91
Golden State Warriors,98,Memphis Grizzlies,105
Utah Jazz,111,New Orleans Pelicans,119
Dallas Mavericks,107,New York Knicks,87
Oklahoma City Thunder,104,Sacramento Kings,92
Phoenix Suns,111,Charlotte Hornets,106
Atlanta Hawks,127,Cleveland Cavaliers,98
Orlando Magic,92,Boston Celtics,109
Dallas Mavericks,117,Detroit Pistons,106
Utah Jazz,105,Miami Heat,87
Brooklyn Nets,89,Toronto Raptors,105
Memphis Grizzlies,117,San Antonio Spurs,116
Milwaukee Bucks,97,Portland Trail Blazers,104
Houston Rockets,115,Denver Nuggets,111
Indiana Pacers,100,Los Angeles Clippers,102
New York Knicks,97,Chicago Bulls,103
New Orleans Pelicans,99,Houston Rockets,90
Milwaukee Bucks,108,Sacramento Kings,107
Oklahoma City Thunder,109,Golden State Warriors,114
Utah Jazz,101,Orlando Magic,94
Charlotte Hornets,109,Philadelphia 76ers,91
Minnesota Timberwolves,98,Boston Celtics,114
Brooklyn Nets,91,Cleveland Cavaliers,95
Toronto Raptors,110,Detroit Pistons,100
Washington Wizards,105,Miami Heat,103
Chicago Bulls,103,Memphis Grizzlies,97
Portland Trail Blazers,129,San Antonio Spurs,119
Los Angeles Clippers,106,Denver Nuggets,109
Oklahoma City Thunder,104,Los Angeles Lakers,103
Phoenix Suns,99,New York Knicks,90
Utah Jazz,86,Charlotte Hornets,104
Portland Trail Blazers,114,New Orleans Pelicans,88
Atlanta Hawks,104,Houston Rockets,97
San Antonio Spurs,93,Dallas Mavericks,99
Indiana Pacers,73,Denver Nuggets,76
Milwaukee Bucks,102,Los Angeles Clippers,106
New York Knicks,108,Toronto Raptors,118
Memphis Grizzlies,91,Cleveland Cavaliers,105
Detroit Pistons,105,Brooklyn Nets,110
Boston Celtics,84,Miami Heat,100
Philadelphia 76ers,96,Orlando Magic,88
Los Angeles Lakers,101,Sacramento Kings,108
Phoenix Suns,104,Washington Wizards,92
Indiana Pacers,100,Minnesota Timberwolves,96
New Orleans Pelicans,101,Oklahoma City Thunder,99
Denver Nuggets,82,Charlotte Hornets,110
Toronto Raptors,120,Chicago Bulls,129
Portland Trail Blazers,95,Houston Rockets,110
Utah Jazz,97,Memphis Grizzlies,91
Atlanta Hawks,105,Dallas Mavericks,102
Los Angeles Clippers,118,San Antonio Spurs,125
Sacramento Kings,108,Golden State Warriors,128
Minnesota Timberwolves,104,Cleveland Cavaliers,125
New Orleans Pelicans,84,Indiana Pacers,96
Boston Celtics,95,Orlando Magic,100
Chicago Bulls,99,Washington Wizards,91
Los Angeles Clippers,104,Atlanta Hawks,107
Denver Nuggets,96,Brooklyn Nets,102
Philadelphia 76ers,91,Miami Heat,87
Charlotte Hornets,108,Milwaukee Bucks,101
Portland Trail Blazers,115,Oklahoma City Thunder,111
Dallas Mavericks,115,Phoenix Suns,124
Golden State Warriors,105,Los Angeles Lakers,115
Washington Wizards,102,New York Knicks,91
Oklahoma City Thunder,114,San Antonio Spurs,106
Cleveland Cavaliers,91,Miami Heat,101
Los Angeles Lakers,93,Chicago Bulls,113
Golden State Warriors,86,Los Angeles Clippers,100
Brooklyn Nets,109,Boston Celtics,107
Cleveland Cavaliers,98,Orlando Magic,89
Milwaukee Bucks,107,Atlanta Hawks,77
Indiana Pacers,109,Detroit Pistons,119
Houston Rockets,117,Memphis Grizzlies,111
San Antonio Spurs,90,New Orleans Pelicans,97
